,FKZ,Zuwendungsempfänger,Ausführende Stelle,Thema,Leistungsplansystematik,Klartext Leistungsplansystematik,Laufzeit von,Laufzeit bis,Fördersumme in EUR,Förderprofil,Verbundprojekt,Förderart,year,accelerator_related
2534,05P12WONUE,Technische Universität München,Technische Universität München - Physik Department - E62: Dichte und seltsame hadronische Materie,NUPNET: GANAS - GAmma detection with New Advanced Scintillators - GANAS,U02035,Hadronen- und Kernphysik - Aktivitäten an mehreren Beschleunigern,2012-01-01,2015-12-31,225600,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2535,05P12ODNUG,Technische Universität Dresden,Technische Universität Dresden - Fakultät Mathematik und Naturwissenschaften - Fachrichtung Physik - Institut für Kern- und Teilchenphysik,"NUPNET: NEDENSAA - Photon readout of large scintillators, NEutron DEtector developments for Nuclear Structure, Astrophysics and Applications",U02035,Hadronen- und Kernphysik - Aktivitäten an mehreren Beschleunigern,2012-01-01,2015-09-30,135600,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2539,05P12RFRBL,Johann Wolfgang Goethe-Universität Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main - FB 13 Physik - Institut für Angewandte Physik,R&D BESCHLEUNIGER: Weiterentwicklung und Test der supraleitenden CH-Struktur,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-06-30,564000,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2541,05H12PD5,Rheinische Friedrich-Wilhelms-Universität Bonn,Rheinische Friedrich-Wilhelms-Universität Bonn - Mathematisch-Naturwissenschaftliche Fakultät - Physik/Astronomie - Physikalisches Institut,Verbundprojekt 05H2012 - R&D BESCHLEUNIGER (Polarisation): Spinjustierung an Leptonen-Beschleunigern,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2012-07-01,2015-06-30,113087,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2012 - R&D BESCHLEUNIGER (Polarisation),PDIR,2012,True
2543,05P12RFRB8,Johann Wolfgang Goethe-Universität Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main - FB 13 Physik - Institut für Angewandte Physik,R&D BESCHLEUNIGER: Untersuchung und Weiterentwicklung eines dichten und hochionisierten Plasmastrippers für Ionenstrahlen höchster Intensität,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-06-30,356400,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2569,05P12RFRBT,Johann Wolfgang Goethe-Universität Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main - FB 13 Physik - Institut für Angewandte Physik,R&D BESCHLEUNIGER: Brillianzoptimierung von intensiven Schwerionenstrahlen aus Ionenquellen,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-06-30,106200,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2573,05K12GU2,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik u. Naturwissenschaften - Fachbereich Physik - I. Institut für Theoretische Physik","Forschung an LnCoO-basierten Materialien, Entwicklung von Diagnosegeräten für Freie-Elektronen-Laser und Modellierung von spontan emittierter Undulator-Strahlung des European XFEL.",U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,2012-07-01,2015-06-30,447600,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2604,05H15PXRB1,Bergische Universität Wuppertal,Bergische Universität Wuppertal - Fachbereich C - Mathematik und Naturwissenschaften - Fachgruppe Physik,Verbundprojekt 05H2015 - R&D BESCHLEUNIGER (SRF): Untersuchung von N-Dotierung und Elektronen-Feldemission zur Erhöhung der Güte von Nb-Resonatoren,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2015-07-01,2018-09-30,316235,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2015 - R&D BESCHLEUNIGER (SRF),PDIR,2015,True
2620,05P15RDRBA,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05P2015 - R&D BESCHLEUNIGER (HADRONENBESCHLEUNIGER): Optimierung der Strahldynamik für FAIR und CERN ,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2015-07-01,2018-06-30,373042,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05P2015 - R&D BESCHLEUNIGER (HADRONENBESCHLEUNIGER),PDIR,2015,True
2622,05P15RFRBA,Johann Wolfgang Goethe-Universität Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main - FB 13 Physik - Institut für Angewandte Physik,Verbundprojekt 05P2015 - R&D BESCHLEUNIGER (HADRONENBESCHLEUNIGER): Weiterentwicklung der FAIR-Injektoren bei der GSI,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2015-07-01,2018-06-30,2960271,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05P2015 - R&D BESCHLEUNIGER (HADRONENBESCHLEUNIGER),PDIR,2015,True
2629,05K16PFB,Heinrich-Heine-Universität Düsseldorf,Heinrich-Heine-Universität Düsseldorf - Mathematisch-Naturwissenschaftliche Fakultät - Physik - Institut für Laser- und Plasmaphysik,Verbundprojekt 05K2016 - PlasmaPhotokathode: Elektronenstrahlen höchster Brillanz an FLASH. Teilprojekt 1.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2019-06-30,414145,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - PlasmaPhotokathode,PDIR,2016,True
2630,05K16VKA,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Fakultät für Physik - Labor für Anwendungen von Synchrotronstrahlung (LAS),Verbundprojekt 05K2016 - NeoDyn: Neue elektronische und optische Detektorsysteme und Methoden zur Untersuchung der Dynamik hochrepetitiver kurzer Elektronenpakete. Teilprojekt 1: Neue ultra-schnelle Detektor- und Datenerfassungssysteme zur synchronen Untersuchung hochrepetitiver kurzer Elektronenpakete.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2019-12-31,1199427,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - NeoDyn,PDIR,2016,True
2632,05K16SJC,Friedrich-Schiller-Universität Jena,Friedrich-Schiller-Universität Jena - Physikalisch-Astronomische Fakultät - Institut für Optik und Quantenelektronik,Entwicklung einer bildgebenden Diagnostik mit höchster räumlicher und zeitlicher Auflösung im mittleren Infrarot-Spektralbereich (MIR) für Experimente zur Elektronenbeschleunigung bei extrem niedriger Plasmadichte an FLASHForward an DESY,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2019-12-31,816345,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2016,True
2633,05K16GU4,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik","Verbundprojekt 05K2016 - LoKoFEL: Longitudinale Kohärenz am Freie-Elektronen-Laser - Kontrolle, Analyse und Anwendungen - Teilprojekt 1: Konzepte für das Erzeugen longitudinal kohärenter FEL-Strahlung für Anwendungen beim Studium phasensensitiver Prozesse (UHH-COHERE)",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2019-12-31,944591,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - LoKoFEL,PDIR,2016,True
2810,05K12VK1,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Fakultät für Physik - Labor für Anwendungen von Synchrotronstrahlung (LAS),Verbundprojekt 05K2012 - SCID: Supraleitende Insertion Device-Technologien für Synchrotronstrahlungsquellen mit extrem kleiner Emittanz,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2012-07-01,2016-02-29,393327,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2012 - SCID,PDIR,2012,True
2811,05K12CK1,Karlsruher Institut für Technologie (Großforschungsaufgabe),Sondervermögen Großforschung beim Karlsruher Institut für Technologie (KIT) - Institut für Synchrotronstrahlung (ISS),Verbundprojekt 05K2012 - SCID: Supraleitende Insertion Device-Technologien für Synchrotronstrahlungsquellen mit extrem kleiner Emittanz,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2012-07-01,2018-06-30,390000,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2012 - SCID,PDIR,2012,True
2814,05K12PE1,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik,Pump-probe spectroscopy in the UV and IR using the accelerator based coherent photon source at DELTA,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2012-07-01,2015-06-30,607501,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2816,05K12CB2,Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung,Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung - Bereich Großgeräte,"Verbundprojekt 05K2012 - PCHB: Photocathodes for high brightness, high average current electron beams (Photokathode)",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2012-07-01,2015-12-31,389802,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2012 - PCHB,PDIR,2012,True
2818,05K12CR1,Helmholtz-Zentrum Dresden - Rossendorf e. V.,Helmholtz-Zentrum Dresden - Rossendorf e. V. - Institut für Strahlenphysik,"Verbundprojekt 05K2012 - PCHB: Photocathodes for high brightness, high average current electron beams (Photokathode), Teilthema HZDR: Design of cathode transfer chamber and operational testing of cathodes with the ELBE SRF-Gun",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2012-07-01,2015-12-31,225948,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2012 - PCHB,PDIR,2012,True
2822,05K12UM1,Johannes Gutenberg-Universität Mainz,"Johannes Gutenberg-Universität Mainz - FB 08 Physik, Mathematik und Informatik - Institut für Kernphysik","Verbundprojekt 05K2012 - PCHB: Photocathodes for high brightness, high average current electron beams",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2012-07-01,2015-12-31,831852,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2012 - PCHB,PDIR,2012,True
2828,05K12CH4,Deutsches Elektronen-Synchrotron (DESY),Deutsches Elektronen-Synchrotron (DESY),Hochrepetitive THz Quellen an FLASH II,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2012-07-01,2017-09-30,1011300,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2833,05K12CB4,Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung,Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung - Bereich Großgeräte - Nanometeroptik und Technologie,Eine neue Generation optischer Instrumente für ultraschnelle Röntgenuntersuchungen an Synchrotronstrahlenquellen (Next generation instrumentation for ultrafast X-ray science at accelerator-driven photon sources),U03054,Erforschung kondensierter Materie - mit anderen Methoden,2012-07-01,2015-12-31,569875,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2845,05E12CD1,GSI Helmholtzzentrum für Schwerionenforschung GmbH,GSI Helmholtzzentrum für Schwerionenforschung GmbH,Beschleunigerentwicklung GSI,U05073,Technologische Entwicklung- Beschleunigertechnologie,2012-07-01,2013-11-30,14112000,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2902,05E20CD6,GSI Helmholtzzentrum für Schwerionenforschung GmbH,GSI Helmholtzzentrum für Schwerionenforschung GmbH,Helium Distribution System für das Super-FRS Magnetic Spectrometer im Rahmen der GSI-WUST-Kooperation,U05073,Technologische Entwicklung- Beschleunigertechnologie,2020-11-01,2025-06-30,3000000,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2020,True
2937,05P21RORB1,Technische Hochschule Mittelhessen,Technische Hochschule Mittelhessen,Verbundprojekt 05P2021 - R&D BESCHLEUNIGER (Hadronenlinacs): Pulverbettbasiertes Laserstrahlschmelzen (LPBF) - Additive Fertigung neuartiger Komponenten in Teilchenbeschleunigeranlagen ,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2021-07-01,2024-12-31,402266,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05P2021 - R&D BESCHLEUNIGER (Hadronenlinacs),PDIR,2021,True
2950,05P21SJRB1,Friedrich-Schiller-Universität Jena,Friedrich-Schiller-Universität Jena - Physikalisch-Astronomische Fakultät - Institut für Optik und Quantenelektronik,Verbundprojekt 05P2021 - R&D BESCHLEUNIGER (DIAGNOSE): Anwendungsorientierte Kryo-Stromkomparatoren für Beschleunigeranlagen ,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2021-07-01,2024-12-31,795960,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05P2021 - R&D BESCHLEUNIGER (DIAGNOSE),PDIR,2021,True
